Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%
irinnovative.com;18,463,879;-;-;3.00;-;-;;;;;;;;;;
blackhataso.com;1,727,593;76.7K;2:12;3.00;41.70%;16.70%;;;;;;;;;;
jcodecraeer.com;52,693;60.8K;1:57;1.60;85.60%;30.80%;China;94.3%;Taiwan;3.8%;;;;;;
refind.com;135,912;25.8K;1:52;1.70;66.20%;7.80%;India;24.0%;United States;19.5%;Spain;7.9%;Germany;7.4%;Pakistan;7.0%
behance.net;359;16.8K;5:14;4.53;44.30%;14.80%;China;23.4%;United States;11.9%;India;7.1%;Brazil;3.5%;South Korea;3.0%
uimovement.com;81,328;27.1K;2:26;2.10;61.20%;22.10%;China;38.7%;United States;9.6%;India;7.6%;Hong Kong;5.2%;United Kingdom;4.7%
lib4dev.com;721,860;48K;1:38;1.30;77.80%;38.00%;;;;;;;;;;
cnblogs.com;140;18.9K;3:55;2.93;62.60%;11.90%;China;96.6%;Japan;1.4%;United States;0.6%;Taiwan;0.5%;;
jsobject.info;8,186,417;-;0:35;1.00;-;-;;;;;;;;;;
etsung.com;5,144,484;100K;0:33;2.00;60.00%;0.00%;;;;;;;;;;
cocoapods.org;68,410;64.4K;2:30;1.90;60.20%;52.40%;United States;27.7%;China;11.4%;India;9.0%;United Kingdom;3.8%;France;3.7%
startups-list.com;181,645;52.4K;1:25;1.30;74.20%;44.40%;India;43.6%;United States;29.9%;United Kingdom;4.5%;Iran;4.0%;Canada;3.9%
gitstar-ranking.com;1,896,127;71.9K;1:40;3.00;57.10%;42.90%;;;;;;;;;;
6maa.com;10,666,207;-;-;1.00;-;-;;;;;;;;;;
android-gems.com;2,417,417;60.3K;1:37;3.00;75.00%;33.30%;;;;;;;;;;
brightoutsource.com;4,549,859;57K;1:34;1.00;82.70%;40.00%;Ukraine;13.0%;Russia;13.0%;;;;;;
open-open.com;19,068;30K;1:52;2.60;59.50%;19.00%;China;94.9%;Taiwan;1.1%;United States;0.8%;;;;
outofmemory.cn;12,177;24.8K;1:28;1.40;85.90%;17.80%;China;95.8%;United States;1.1%;Taiwan;0.9%;;;;
growthhackers.com;59,306;43.5K;2:17;2.50;57.40%;25.50%;United States;33.0%;India;24.1%;Japan;9.2%;Canada;4.4%;Brazil;2.2%
gitmostwanted.com;8,289,942;-;-;2.00;-;-;;;;;;;;;;
omaha-advertising.com;4,872,351;7.7K;0:37;1.00;92.30%;7.70%;;;;;;;;;;
ctolib.com;23,530;58.7K;1:40;1.60;83.30%;43.70%;China;82.3%;Japan;6.0%;Taiwan;2.8%;United States;2.7%;Hong Kong;1.2%
designernews.co;21,723;41.6K;1:32;1.80;66.80%;22.60%;United States;29.7%;Japan;12.7%;China;11.4%;United Kingdom;7.3%;India;5.9%
one-tab.com;36,605;13.1K;1:43;1.40;74.70%;8.10%;United States;28.2%;China;20.5%;Japan;16.6%;South Korea;3.4%;India;3.3%
ggdb-saldi.com;11,113,944;-;-;1.00;-;-;;;;;;;;;;
codekk.com;53,650;15.4K;2:28;3.30;44.70%;8.40%;China;98.5%;India;0.8%;;;;;;
codeproject.com;1,641;55.3K;2:11;1.63;75.30%;44.30%;India;25.9%;United States;11.6%;Iran;8.7%;China;6.4%;Japan;3.0%
libraries.io;36,808;59.2K;1:10;1.30;78.60%;52.20%;India;15.9%;United States;14.6%;China;11.4%;Iran;4.7%;United Kingdom;3.3%
blockchainworldwide247.com;19,849,511;-;-;1.00;-;-;;;;;;;;;;
jsfeeds.com;1,942,743;53K;1:10;1.10;73.30%;40.00%;;;;;;;;;;
barnacl.es;2,303,910;0K;1:32;2.30;45.80%;0.00%;;;;;;;;;;
savepearlharbor.com;627,791;23.4K;1:22;1.10;94.00%;11.40%;Russia;39.2%;Belarus;1.9%;Ukraine;1.9%;Uzbekistan;1.5%;;
hypergridbusiness.com;268,932;42.9K;1:57;1.40;66.40%;37.90%;United States;41.7%;India;8.8%;Canada;6.5%;Russia;1.8%;;
